task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,method,checkpoint,predicted_loss
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,gaussian_plugin_fullbatch,16,5.84826572869499e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,gaussian_plugin_fullbatch,16,3.942059068582952e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,gaussian_plugin_fullbatch,16,2.7843846057708495e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,gaussian_plugin_fullbatch,16,5.154629049087886e-07
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,gaussian_plugin_fullbatch,16,5.84826572869499e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,gaussian_plugin_fullbatch,16,5.599750026808889e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,gaussian_plugin_fullbatch,16,1.0758571915229494e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,gaussian_plugin_fullbatch,16,5.154629049087419e-07
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,gaussian_plugin_fullbatch,16,5.84826572869499e-06
s9317_r1_n000_a125,confirmatory,9317,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,gaussian_plugin_fullbatch,16,3.7834396271899513e-06
