panel,noise_variance,rank,captured_energy,twice_L_times_bound,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,task,source,label,mean_pp,low_pp,high_pp,n_seeds,source_table,source_contrast
C,0.0,1.0,0.8,0.8000000000000002,,,,,,,,,,,,,,,,,,,
C,0.01,1.0,0.8,0.7901234567901235,,,,,,,,,,,,,,,,,,,
C,0.02,1.0,0.8,0.7804878048780489,,,,,,,,,,,,,,,,,,,
C,0.03,1.0,0.8,0.7710843373493976,,,,,,,,,,,,,,,,,,,
C,0.04,1.0,0.8,0.761904761904762,,,,,,,,,,,,,,,,,,,
C,0.05,1.0,0.8,0.7529411764705883,,,,,,,,,,,,,,,,,,,
C,0.06,1.0,0.8,0.744186046511628,,,,,,,,,,,,,,,,,,,
C,0.07,1.0,0.8,0.7356321839080461,,,,,,,,,,,,,,,,,,,
C,0.08,1.0,0.8,0.7272727272727274,,,,,,,,,,,,,,,,,,,
C,0.09,1.0,0.8,0.7191011235955057,,,,,,,,,,,,,,,,,,,
C,0.1,1.0,0.8,0.7111111111111112,,,,,,,,,,,,,,,,,,,
C,0.11,1.0,0.8,0.7032967032967035,,,,,,,,,,,,,,,,,,,
C,0.12,1.0,0.8,0.6956521739130436,,,,,,,,,,,,,,,,,,,
C,0.13,1.0,0.8,0.6881720430107527,,,,,,,,,,,,,,,,,,,
C,0.14,1.0,0.8,0.6808510638297873,,,,,,,,,,,,,,,,,,,
C,0.15,1.0,0.8,0.6736842105263159,,,,,,,,,,,,,,,,,,,
C,0.16,1.0,0.8,0.6666666666666667,,,,,,,,,,,,,,,,,,,
C,0.17,1.0,0.8,0.6597938144329898,,,,,,,,,,,,,,,,,,,
C,0.18,1.0,0.8,0.6530612244897961,,,,,,,,,,,,,,,,,,,
C,0.19,1.0,0.8,0.6464646464646466,,,,,,,,,,,,,,,,,,,
C,0.2,1.0,0.8,0.6400000000000001,,,,,,,,,,,,,,,,,,,
C,0.21,1.0,0.8,0.6336633663366338,,,,,,,,,,,,,,,,,,,
C,0.22,1.0,0.8,0.627450980392157,,,,,,,,,,,,,,,,,,,
C,0.23,1.0,0.8,0.6213592233009709,,,,,,,,,,,,,,,,,,,
C,0.24,1.0,0.8,0.6153846153846155,,,,,,,,,,,,,,,,,,,
C,0.25,1.0,0.8,0.6095238095238096,,,,,,,,,,,,,,,,,,,
C,0.26,1.0,0.8,0.6037735849056605,,,,,,,,,,,,,,,,,,,
C,0.27,1.0,0.8,0.5981308411214954,,,,,,,,,,,,,,,,,,,
C,0.28,1.0,0.8,0.5925925925925927,,,,,,,,,,,,,,,,,,,
C,0.29,1.0,0.8,0.5871559633027523,,,,,,,,,,,,,,,,,,,
C,0.3,1.0,0.8,0.5818181818181819,,,,,,,,,,,,,,,,,,,
C,0.31,1.0,0.8,0.5765765765765767,,,,,,,,,,,,,,,,,,,
C,0.32,1.0,0.8,0.5714285714285715,,,,,,,,,,,,,,,,,,,
C,0.33,1.0,0.8,0.5663716814159293,,,,,,,,,,,,,,,,,,,
C,0.34,1.0,0.8,0.5614035087719299,,,,,,,,,,,,,,,,,,,
C,0.35000000000000003,1.0,0.8,0.5565217391304348,,,,,,,,,,,,,,,,,,,
C,0.36,1.0,0.8,0.5517241379310345,,,,,,,,,,,,,,,,,,,
C,0.37,1.0,0.8,0.5470085470085472,,,,,,,,,,,,,,,,,,,
C,0.38,1.0,0.8,0.5423728813559322,,,,,,,,,,,,,,,,,,,
C,0.39,1.0,0.8,0.5378151260504203,,,,,,,,,,,,,,,,,,,
C,0.4,1.0,0.8,0.5333333333333333,,,,,,,,,,,,,,,,,,,
C,0.41000000000000003,1.0,0.8,0.5289256198347109,,,,,,,,,,,,,,,,,,,
C,0.42,1.0,0.8,0.5245901639344264,,,,,,,,,,,,,,,,,,,
C,0.43,1.0,0.8,0.5203252032520326,,,,,,,,,,,,,,,,,,,
C,0.44,1.0,0.8,0.5161290322580646,,,,,,,,,,,,,,,,,,,
C,0.45,1.0,0.8,0.5120000000000001,,,,,,,,,,,,,,,,,,,
C,0.46,1.0,0.8,0.507936507936508,,,,,,,,,,,,,,,,,,,
C,0.47000000000000003,1.0,0.8,0.5039370078740159,,,,,,,,,,,,,,,,,,,
C,0.48,1.0,0.8,0.5000000000000001,,,,,,,,,,,,,,,,,,,
C,0.49,1.0,0.8,0.49612403100775204,,,,,,,,,,,,,,,,,,,
C,0.5,1.0,0.8,0.4923076923076924,,,,,,,,,,,,,,,,,,,
C,0.51,1.0,0.8,0.4885496183206108,,,,,,,,,,,,,,,,,,,
C,0.52,1.0,0.8,0.4848484848484849,,,,,,,,,,,,,,,,,,,
C,0.53,1.0,0.8,0.4812030075187971,,,,,,,,,,,,,,,,,,,
C,0.54,1.0,0.8,0.4776119402985075,,,,,,,,,,,,,,,,,,,
C,0.55,1.0,0.8,0.47407407407407415,,,,,,,,,,,,,,,,,,,
C,0.56,1.0,0.8,0.4705882352941177,,,,,,,,,,,,,,,,,,,
C,0.5700000000000001,1.0,0.8,0.4671532846715329,,,,,,,,,,,,,,,,,,,
C,0.58,1.0,0.8,0.4637681159420291,,,,,,,,,,,,,,,,,,,
C,0.59,1.0,0.8,0.460431654676259,,,,,,,,,,,,,,,,,,,
C,0.6,1.0,0.8,0.45714285714285724,,,,,,,,,,,,,,,,,,,
C,0.61,1.0,0.8,0.4539007092198582,,,,,,,,,,,,,,,,,,,
C,0.62,1.0,0.8,0.4507042253521128,,,,,,,,,,,,,,,,,,,
C,0.63,1.0,0.8,0.4475524475524476,,,,,,,,,,,,,,,,,,,
C,0.64,1.0,0.8,0.44444444444444453,,,,,,,,,,,,,,,,,,,
C,0.65,1.0,0.8,0.44137931034482764,,,,,,,,,,,,,,,,,,,
C,0.66,1.0,0.8,0.43835616438356173,,,,,,,,,,,,,,,,,,,
C,0.67,1.0,0.8,0.435374149659864,,,,,,,,,,,,,,,,,,,
C,0.68,1.0,0.8,0.4324324324324325,,,,,,,,,,,,,,,,,,,
C,0.6900000000000001,1.0,0.8,0.4295302013422819,,,,,,,,,,,,,,,,,,,
C,0.7000000000000001,1.0,0.8,0.42666666666666675,,,,,,,,,,,,,,,,,,,
C,0.71,1.0,0.8,0.42384105960264906,,,,,,,,,,,,,,,,,,,
C,0.72,1.0,0.8,0.42105263157894746,,,,,,,,,,,,,,,,,,,
C,0.73,1.0,0.8,0.4183006535947713,,,,,,,,,,,,,,,,,,,
